2016 Rank,,Armada,Hungrybox,Mango,Mew2King,Leffen,Plup,SFAT,Westballz,Axe,Shroomed,Swedish Delight,Wizzrobe,Ice,PewPewU,Duck,S2J,Nintendude,n0ne,Lucky,Silent Wolf,The Moon,ChuDat,DruggedFox,Professor Pro,Colbol,MacD,dizzkidboogie,MikeHaze,KirbyKaze,Wobbles,Zhu,aMSa,Laudandus,KJH,Gahtzu,Chillin,Javi,HugS,Bladewise,Abate,Gravy,Prince Abu,Santiago,Trif,Captain Faceroll,Connor,Infinite Numbers,Ryan Ford,Crush,Mafia,Slox,Rudolph,OverTriforce,lloD,Kels,Amsah,Cactuar,Zgetto,Rishi,Android,Captain Smuckers,DJ Nintendo,Zain,Syrox,Squid,Ka-Master,Medz,ARMY,SET COUNT VS. ALL,SET COUNT VS. >26,SET COUNT VS. 11-25,SET COUNT VS. 6-10,SET COUNT VS. 1-5
35,Gahtzu,,0-3,,0-2,,0-5,,0-1,0-1,,0-1,0-1,,0-1,2-0,0-1,,0-1,,,0-1,,,,2-29,,1-0,0-1,,,,,,0-1,X,,,1-0,1-0,,3-0,,,,,,,,1-1,,1-1,,,,0-1,,,,,,,,,1-1,,,,,13 - 43,9 - 6,4 - 25,0 - 7,0 - 5
36,Chillin,,,,,,,0-1,,,0-1,0-1,0-1,,,0-1,0-1,,,0-1,,,,,0-1,,1-1,1-0,,,,0-1,,,0-1,,X,,,0-1,,,,,,,,,,,,,,,,,0-1,,,0-2,,,,,,,,,,2 - 15,2 - 7,0 - 6,0 - 2,0 - 0
37,Javi,,,,,,,,,,,,0-1,,,,,,,,,0-1,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - 2,0 - 0,0 - 2,0 - 0,0 - 0
38,HugS,0-1,0-3,0-1,0-1,0-1,,1-1,4-7,0-1,0-1,,,,1-0,,3-17,,3-2,5-4,,2-0,,2-3,1-0,,2-2,,4-3,,,,1-0,0-1,,0-1,,,X,0-1,,,0-3,0-1,,2-1,1-0,,2-0,1-0,0-1,2-0,,,,1-0,,,,,,,,,2-1,8-2,0-1,,10-3,48 - 64,36 - 21,17 - 26,5 - 10,0 - 7
39,Bladewise,,0-1,,,,,,,0-1,,,,,,,2-0,,2-0,0-1,2-6,,,0-1,0-1,,,2-0,2-0,,,,0-1,,,0-1,1-0,,1-0,X,,,,,0-1,1-0,1-0,,,,,,,,,,,,1-0,,,,,,1-1,,5-0,0-1,,21 - 16,15 - 5,6 - 9,0 - 1,0 - 1
40,Abate,,0-1,,,,,,,,0-1,,,,,,,,1-0,,,,,,,1-2,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,0-1,0-1,,,,,,,,0-1,,,,,,2 - 7,0 - 3,2 - 2,0 - 1,0 - 1
41,Gravy,,0-2,,0-1,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,0-3,,,,,,X,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,1 - 7,1 - 3,0 - 1,0 - 0,0 - 3
42,Prince Abu,,0-1,,,,,0-1,,0-1,,,,,,0-2,1-0,,0-2,,,,0-1,,1-1,,,,,2-2,,,,,0-2,,,,3-0,,,,X,,,,,,0-1,,,0-1,,,,2-2,,,,,,0-1,,0-1,,,1-0,,,10 - 19,8 - 10,2 - 6,0 - 2, 0 -1
43,Santiago,,,,,,,,,0-1,,,,,,,,,,1-2,,,0-1,0-1,,,,,,,,,,,,,,,1-0,,,,,X,,5-2,,,,,,,1-0,,,,,,,,,,,,1-0,4-0,,,,13 - 7,12 - 2,1 - 4,0 - 1,0 - 0
44,Trif,0-1,0-1,,,,,,0-1,,,,,,0-1,,,,,,,0-1,0-1,1-1,1-1,,,1-0,,,,,,,,,,,,1-0,,,,,X,,,,,,,,,1-2,,,2-2,,,,0-1,,,,,,,,,7 - 13,5 - 5,2 - 5,0 - 1,0 - 2
